,Borough,Neighborhood
0,North York,Parkwoods
1,North York,Victoria Village
2,Downtown Toronto,"Regent Park, Harbourfront"
3,North York,"Lawrence Manor, Lawrence Heights"
4,Queen's Park,Ontario Provincial Government
5,Etobicoke,Islington Avenue
6,Scarborough,"Malvern, Rouge"
7,North York,Don Mills North
8,East York,"Parkview Hill, Woodbine Gardens"
9,Downtown Toronto,"Garden District, Ryerson"
10,North York,Glencairn
11,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
12,Scarborough,"Rouge Hill, Port Union, Highland Creek"
13,North York,Don Mills South
14,East York,Woodbine Heights
15,Downtown Toronto,St. James Town
16,York,Humewood-Cedarvale
17,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
18,Scarborough,"Guildwood, Morningside, West Hill"
19,East Toronto,The Beaches
20,Downtown Toronto,Berczy Park
21,York,Caledonia-Fairbanks
22,Scarborough,Woburn
23,East York,Leaside
24,Downtown Toronto,Central Bay Street
25,Downtown Toronto,Christie
26,Scarborough,Cedarbrae
27,North York,Hillcrest Village
28,North York,"Bathurst Manor, Wilson Heights, Downsview North"
29,East York,Thorncliffe Park
30,Downtown Toronto,"Richmond, Adelaide, King"
31,West Toronto,"Dufferin, Dovercourt Village"
32,Scarborough,Scarborough Village
33,North York,"Fairview, Henry Farm, Oriole"
34,North York,"Northwood Park, York University"
35,East YorkEast Toronto,The Danforth  East
36,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
37,West Toronto,"Little Portugal, Trinity"
38,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
39,North York,Bayview Village
40,North York,Downsview East
41,East Toronto,"The Danforth West, Riverdale"
42,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
43,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
44,Scarborough,"Golden Mile, Clairlea, Oakridge"
45,North York,"York Mills, Silver Hills"
46,North York,Downsview West
47,East Toronto,"India Bazaar, The Beaches West"
48,Downtown Toronto,"Commerce Court, Victoria Hotel"
49,North York,"North Park, Maple Leaf Park, Upwood Park"
50,North York,Humber Summit
51,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
52,North York,"Willowdale, Newtonbrook"
53,North York,Downsview Central
54,East Toronto,Studio District
55,North York,"Bedford Park, Lawrence Manor East"
56,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
57,North York,"Humberlea, Emery"
58,Scarborough,"Birch Cliff, Cliffside West"
59,North York,Willowdale South
60,North York,Downsview Northwest
61,Central Toronto,Lawrence Park
62,Central Toronto,Roselawn
63,York,"Runnymede, The Junction North"
64,York,Weston
65,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
66,North York,York Mills West
67,Central Toronto,Davisville North
68,Central Toronto,Forest Hill North & West
69,West Toronto,"High Park, The Junction South"
70,Etobicoke,Westmount
71,Scarborough,"Wexford, Maryvale"
72,North York,Willowdale West
73,Central Toronto,North Toronto West
74,Central Toronto,"The Annex, North Midtown, Yorkville"
75,West Toronto,"Parkdale, Roncesvalles"
76,MississaugaCanada Post Gateway Processing Centre,Enclave of L4W
77,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
78,Scarborough,Agincourt
79,Central Toronto,Davisville
80,Downtown Toronto,"University of Toronto, Harbord"
81,West Toronto,"Runnymede, Swansea"
82,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
83,Central Toronto,"Moore Park, Summerhill East"
84,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
85,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
86,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
87,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
88,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
89,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
90,Scarborough,"Steeles West, L'Amoreaux West"
91,Downtown Toronto,Rosedale
92,Downtown TorontoStn A PO Boxes25 The Esplanade,Enclave of M5E
93,Etobicoke,"Alderwood, Long Branch"
94,EtobicokeNorthwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale"
95,Scarborough,Upper Rouge
96,Downtown Toronto,"St. James Town, Cabbagetown"
97,Downtown Toronto,"First Canadian Place, Underground city"
98,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
99,Downtown Toronto,Church and Wellesley
100,East TorontoBusiness reply mail Processing Centre969 Eastern,Enclave of M4L
101,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
102,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
